Tegye az alábbi növényeket virágzási idejük kezdete szerint idõrendbe!;ibolya;rózsa;orgona;õszi rózsa;ACBD;BIOLÓGIA
Állítsa növekvõ sorrendbe az alábbi mesefigurákhoz tartozó számokat!;Hófehérke;Kismalac;a brémai muzsikusok;Ali baba;BCAD;FILM
Állítsa keletkezési sorrendbe a következõ regényeket! Kezdje a legrégebbivel!;Robinson Crusoe;A fekete gyémántok;Az öreg halász és a tenger;Svejk;ABDC;IRODALOM
Tegye születésük idõrendjébe az alábbi magyar írókat!;Mikszáth Kálmán;Németh László;Jókai Mór;Móricz Zsigmond;CADB;IRODALOM
Állítsa sorba a rovarok kifejlõdésének szakaszait! Kezdje a legkorábbi állapottal!;báb;pete;lárva;imágó;BCAD;BIOLÓGIA
Tegye az építészeti korszakokat idõrendi sorrendbe!;gótika;klasszicizmus;román;barokk;CADB;ÉPÍTÉSZET
Állítsa sorrendbe területük alapján az alábbi európai országokat! Kezdje a legnagyobbal!;Lengyelország;Luxemburg;Vatikán;Franciaország;DABC;FÖLDRAJZ
A legtöbb aranyérmet nyerttel kezdve állítsa sorrendbe az alábbi magyar olimpiai bajnokokat!;Egerszegi Krisztina;Kárpáti Rudolf;Darnyi Tamás;Gerevich Aladár;DBAC;SPORT
Állítsa sorba az alábbi nyelveket elterjedtségük mértéke szerint! Kezdje a legtöbbek által beszélt nyelvvel!;kínai;perzsa;török;arab;ADCB;NYELV
Állítsa nagyság szerinti sorrendbe a fõvárosokat a lakosság száma alapján! Kezdje a legnagyobbal!;Moszkva;Tokió;Mexikóváros;Athén;CBAD;ORSZÁGOK
Állítsa sorrendbe az emberi fogazat tagjait! Kezdje középrõl!;zápfog;metszõfog;bölcsességfog;szemfog;BDAC;BIOLÓGIA
Állítsa idõrendi sorrendbe a következõ zeneszerzõket! Kezdje a legrégebbivel!;Berlioz;Mozart;Purcell;Prokofjev;CBAD;OPERA
Tegye az alábbi növényeket virágzási idejük kezdete szerint idõrendi sorrendbe!;csokros tulipán;kecses liliom;tarka kikerics;pompás hóvirág;DABC;BIOLÓGIA
Tegyék a zenés filmeket forgatásuk idõpontja szerinti sorrendbe! Kezdjék a legkorábbival!;West Side Story;Kabaré;Ének az esõben;Hair;CABD;FILM
Állítsa sorrendbe az alábbi állatokat fejlettségük szerint! Kezdje a legfejlettlenebbel!;béka;krokodil;ponty;veréb;CABD;BIOLÓGIA
Állítsa idõrendi sorrendbe az alábbi régi magyar hónapneveket! Kezdje a legkorábbival!;Szent Iván hava;Mindszent hava;Pünkösd hava;Szent György hava;DCAB;ÁLTALÁNOS
Állítsa nagyság szerinti sorrendbe az alábbi vonós hangszereket! Kezdje a legnagyobbal!;brácsa;nagybõgõ;hegedû;gordonka;BDAC;OPERA
Tegye az alábbi színmûveket születésük sorrendjébe! Kezdje a legrégebbivel!;Az ügynök halála;Tartuffe;Macbeth;Antigone;DCBA;IRODALOM
Állítsa sorrendbe az alábbi növényeket fejlettségük szerint! Kezdje a legfejlettlenebbel!;nyitvatermõk;harasztok;gombák;moszatok;DCBA;BIOLÓGIA
Állítsa sorrendbe az alábbi hangszereket húrjaik száma alapján! Kezdje a legnagyobb húrúval!;klasszikus gitár;citera;hárfa;brácsa;CBAD;OPERA
